"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Dijual Rumah Baru  Siap Huni di Mustika Jaya Bekasi Kota 3 kamar tidur","Jl. Raya Kelapa Dua Mustika Jaya Bekasi, Mustikajaya, Bekasi, Jawa Barat","Rp","590 jt","3","2","61 m²","Rp 5.514.019 per m²","tel:+6285155434301","Hubungi"
"Mutiara Gading Timur","Jl Raya Pondok Timur, Mustika Jaya, Bekasi, Mustikajaya, Bekasi, Jawa Barat","Rp","385 jt","2","1","50 m²","Rp 6.416.667 per m²","tel:+6281212151840","Hubungi"
"DiJual cepat rumah hook furnish Burgundy residence Sumarecon bekasi","Sumarecon bekasi, Summarecon Bekasi, Bekasi, Jawa Barat","Rp","4,3 M","4","4","118 m²","Rp 25.748.503 per m²","tel:+628111787922","Hubungi"
"Dijual rumah cluster exclusive di jakasampurna jatibening caman kalimalang bekasi","jakasampurna jatibening, Jati Bening, Bekasi, Jawa Barat","Rp","1,5 M","3","3","140 m²","Rp 15.306.122 per m²","tel:+628111787922","Hubungi"
"Dijual cepat murah rumah terawat bebas banjir di jatibening dekat sentra kota","jatibening dekat sentra kota, Jati Bening, Bekasi, Jawa Barat","Rp","1,45 M","3","2","90 m²","Rp 8.529.412 per m²","tel:+628111787922","Hubungi"
"Rumah di bekasi tarumajaya siap huni 2 lantai tanpa dp dekat lavesh harapan indah","Tanah tinggi, Tarumajaya, Bekasi, Jawa Barat","Rp","779 jt","3","2","63 m²","Rp 14.698.113 per m²","tel:+6281218201298","Hubungi"
"Dijual rumah industrial semi furnish dekat SMP Al Azhar shifa budi jatibening baru pondok gede","jatibening baru pondok gede, Jati Bening, Bekasi, Jawa Barat","Rp","1,75 M","3","3","140 m²","Rp 20.833.333 per m²","tel:+628111787922","Hubungi"
"Rumah bekasi siap huni 5 menit summarecon bekasi 700 jutaan","Jln tanah tinggi, Summarecon Bekasi, Bekasi, Jawa Barat","Rp","779 jt","3","2","63 m²","Rp 14.698.113 per m²","tel:+6281218201298","Hubungi"
"Summarecon Bekasi","Jalan Raya Boulevard Grand Duta City, Summarecon Bekasi, Bekasi, Jawa Barat","Rp","1,076805 M","2","1","50 m²","Rp 15.382.929 per m²","tel:+6282211530762","Hubungi"
"Harapan Indah","Jl Raya Boulevard Grand Duta City, Harapan Indah, Bekasi, Jawa Barat","Rp","1,072523254 M","2","1","50 m²","Rp 15.321.761 per m²","tel:+6282211530762","Hubungi"
"galaxy","Jl. Caman Raya, Cikunir, Bekasi, Galaxy, Bekasi, Jawa Barat","Rp","2,5 M","4","3","150 m²","Rp 20.833.333 per m²","tel:+6282123672619","Hubungi"
"Rumah di bekasi siap huni 2 lantai selangkah ke mutiara gading city","Jln tanah tinggi, Bekasi Utara, Bekasi, Jawa Barat","Rp","779 jt","3","2","63 m²","Rp 14.698.113 per m²","tel:+6281218201298","Hubungi"
"Mustika Park Place","Burangkeng, Setu, Bekasi, Jawa Barat","Rp","400 jt","2","1","30 m²","Rp 6.666.667 per m²","tel:+6281959977769","Hubungi"
"Dijual Cepat termurah Rumah Mewah 2, 5 Lantai Lokasi Elit Jatiwaringin No Banjir","Jatiwaringin, Jati Waringin, Bekasi, Jawa Barat","Rp","2,5 M","4","3","305 m²","Rp 12.195.122 per m²","tel:+628111787922","Hubungi"
"Rumah di bekasi area harapan indah akses 2 mobil dan tidak banjir","Jln tanah tinggi, Bekasi, Bekasi, Jawa Barat","Rp","779 jt","3","2","63 m²","Rp 14.698.113 per m²","tel:+6281218201298","Hubungi"
"Rumah di babelan siap huni 2 lantai 5 menit ke harapan indah","Jln tanah tinggi, Babelan, Bekasi, Jawa Barat","Rp","779 jt","3","2","63 m²","Rp 14.698.113 per m²","tel:+6281218201298","Hubungi"
"Dijual Cepat Rumah Mewah Furnish Cibubur Residence Alternatif Cibubur","Alternatif Cibubur, Jatisampurna, Bekasi, Jawa Barat","Rp","2,1 M","3","3","117 m²","Rp 18.260.870 per m²","tel:+628111787922","Hubungi"
"Cluster Griya Bintara Jaya 8","Bintara Jaya, Bekasi, Jawa Barat","Rp","875 jt","3","2","110 m²","Rp 14.583.333 per m²","tel:+6281293918999","Hubungi"
"Dijual Cepat B. U rumah baru hoek di cluster Urbana Jatiwaringin residence  pondok gede","Jatiwaringin  jatimakmur pondok gede, Jati Waringin, Bekasi, Jawa Barat","Rp","1,5 M","3","3","75 m²","Rp 15.151.515 per m²","tel:+628111787922","Hubungi"
"Termurah Brand New rumah minimalis di kodau wibawa mukti bebas banjir","kodau wibawa mukti, Jati Makmur, Bekasi, Jawa Barat","Rp","1,25 M","3","2","98 m²","Rp 11.904.762 per m²","tel:+628111787922","Hubungi"
"Dijual cepat B. U rumah hook dekat masjid luas 252 m2 di Perum Asabri  jatiasih","Perum Asabri  jatiasih, Jatiasih, Bekasi, Jawa Barat","Rp","1 M","2","1","36 m²","Rp 3.968.254 per m²","tel:+628111787922","Hubungi"
"Dijual cepat B. U rumah luas hitung tanah 416 m2 di Perum Asabri jatiasih","Perum Asabri jatiasih, Jatiasih, Bekasi, Jawa Barat","Rp","1,4 M","4","3","136 m²","Rp 3.365.385 per m²","tel:+628111787922","Hubungi"
"Perumahan Mutiara Indah Tambun Utara","Tambun Utara, Bekasi, Jawa Barat","Rp","275 jt","2","1","36 m²","Rp 2.669.903 per m²","tel:+6281288948186","Hubungi"
"Dijual Rumah minimalis di Taman Alamanda Bekasi Utara","Bekasi Utara, Bekasi, Jawa Barat","Rp","650 jt","3","1","95 m²","Rp 9.027.778 per m²","tel:+6281288948186","Hubungi"
"Dijual Rumah siaphuni di Harapan indah bekasi","Jln sawo, Harapan Indah, Bekasi, Jawa Barat","Rp","975 jt","3","2","120 m²","Rp 10.372.340 per m²","tel:+6281288948186","Hubungi"
"DIJUAL Cepat Rumah Cantik di Bumi Mutiara","Cibubur, Bekasi, Jawa Barat","Rp","1,15 M","3","3","270 m²","Rp 4.637.097 per m²","tel:+6281288948186","Hubungi"
"Rumah bekasi Medan satria bebas banjir 10 menit ke pasar modern Harapan indah","Jln tanah tinggi, Medan Satria, Bekasi, Jawa Barat","Rp","779 jt","3","2","63 m²","Rp 14.698.113 per m²","tel:+6281218201298","Hubungi"
"Perunahan grand duta city south of jakarta","Jalan, Bekasi Utara, Bekasi, Jawa Barat","Rp","672 jt","","","36 m²","Rp 11.200.000 per m²","tel:+6282190795325","Hubungi"
"Jatiwaringin pondok gede bekasi","Jati Waringin, Bekasi, Jawa Barat","Rp","1,7 M","4","3","125 m²","Rp 13.600.000 per m²","tel:+6281291524716","Hubungi"
"Di Jual Rumah Cluster Khalas2 DP 0","Jl karang asih, Cikarang Utara, Bekasi, Jawa Barat","Rp","400 jt","2","1","36 m²","Rp 5.555.556 per m²","tel:+6282122211939","Hubungi"
"rumah full furnish siap huni Galaxy kota bekasi","Galaxy, Bekasi, Jawa Barat","Rp","2,5 M","4","4","400 m²","Rp 12.500.000 per m²","tel:+6281311620188","Hubungi"
"Dijual Rumah Hook Siap Huni di Segara City Cluster Galea, Bekasi.","Segara City Cluster Galea, Bekasi., Tarumajaya, Bekasi, Jawa Barat","Rp","1,4 M","2","1","43 m²","Rp 10.526.316 per m²","tel:+6287782227811","Hubungi"
"Cibubur","Transyogi, Cibubur, Bekasi, Jawa Barat","Rp","1,4 M","3","2","69 m²","Rp 13.333.333 per m²","tel:+62816956874","Hubungi"
"Perumahan Taman Satria Jaya Indah - Tambun Utara","Jalan Raya kali Busa, Tambun Utara, Bekasi, Jawa Barat","Rp","440 jt","2","1","42 m²","Rp 6.111.111 per m²","tel:+6282113095016","Hubungi"
"Summarecon Bekasi","Cluster Bluebell Summarecon Bekasi, Summarecon Bekasi, Bekasi, Jawa Barat","Rp","2,85 M","5","4","157 m²","Rp 18.627.451 per m²","tel:+6281281112008","Hubungi"
"Magenta Residance Summarecon Bekasi",". Jl. Perjuangan Raya, Harapan Mulya, Bekasi Barat, Bekasi, Jawa Barat","Rp","1,48074 jt","3","2","76 m²","Rp 22.435 per m²","tel:+6281211137186","Hubungi"
"Emerald Terrace Jatiasih",". Jl. Wibawa Mukti 2, Jatiasih, Bekasi, Jawa Barat","Rp","900 jt","4","2","51 m²","Rp 15.000.000 per m²","tel:+6281211137186","Hubungi"
"JUAL CEPAT RUMAH TYTYAN INDAH Dekat Stasiun & Tol Siap Huni","Bekasi Utara, Bekasi, Jawa Barat","Rp","725 jt","3","1","90 m²","Rp 6.712.963 per m²","tel:+6282112544320","Hubungi"
"RUMAH KEMANG PRATAMA 3 LANTAI","Bekasi Barat, Bekasi, Jawa Barat","Rp","1,5 M","5","4","180 m²","Rp 13.888.889 per m²","tel:+6282112544320","Hubungi"
"Summarecon Crown Gading Tarumajaya Bekasi","Jl. Taruma Jaya, Setia Asih, Bekasi, Bekasi, Bekasi, Jawa Barat","Rp","952 jt","3","2","69 m²","Rp 17.309.091 per m²","tel:+6281211137186","Hubungi"
"Rumah Murah  diJatiasih","Jalan Bina asih 2, Galaxy, Bekasi, Jawa Barat","Rp","1,7 M","3","3","138 m²","Rp 21.250.000 per m²","tel:+6283805387996","Hubungi"
"Galaxy","Mas Naga, Bekasi, Jawa Barat","Rp","1,25 M","5","2","165 m²","Rp 8.928.571 per m²","tel:+6281283159090","Hubungi"
"Di Jual Rumah Baru 2 LT Minimalis Modern Selangkah ke gerbang toll becakayu  Bekasi","Kalimalang jakasampurna Bekasi Barat, Bekasi Barat, Bekasi, Jawa Barat","Rp","1,535 M","3","2","88 m²","Rp 20.466.667 per m²","tel:+6281315606551","Hubungi"
"Di Jual Rumah second siap huni di Komplek Kemang Pratama Bekasi","Kemang Pratama Bekasi, Bekasi, Bekasi, Jawa Barat","Rp","3.500 M","5","3","314 m²","Rp 12.195.121.951 per m²","tel:+6281315606551","Hubungi"
"Harapan indah asera","Harapan Indah, Bekasi, Jawa Barat","Rp","2,15 M","4","4","157 m²","Rp 14.930.556 per m²","tel:+6281323230177","Hubungi"
"Rumah Brand New di Harapan Indah 1","Harapan Indah, Bekasi, Jawa Barat","Rp","900 jt","3","2","90 m²","Rp 8.181.818 per m²","tel:+6282211111976","Hubungi"
"Summarecon Bekasi","Summarecon Bekasi, Harapan Baru, Bekasi Utara, Kota Bekasi, Jawa Barat, Bekasi Utara, Bekasi, Jawa Barat","Rp","2,7 M","4","3","325 m²","Rp 11.297.071 per m²","tel:+6287785400570","Hubungi"
"Rumah Fully Furnished Elektronik Citra Gran Cibubur Bekasi","jl citragran cibubur, jatikarya,kota wisata, Cibubur, Bekasi, Jawa Barat","Rp","1,5 M","3","2","67 m²","Rp 20.833.333 per m²","tel:+6281380003807","Hubungi"
"Sakura Regency 3","Jl. Cipete Raya, Tambun Selatan, Bekasi, Jawa Barat","Rp","1,4 M","3","2","67 m²","Rp 12.500.000 per m²","tel:+6281517887988","Hubungi"
"Graha Asri Cikarang","Jl. Cisadane Raya Simpangan Bekasi, Cikarang, Bekasi, Jawa Barat","Rp","1,25 M","2","1","120 m²","Rp 10.416.667 per m²","tel:+628159552552","Hubungi"
"Rumah baru minimalis modern bebas banjir dn strategis dkt tol Jatibening","Jl. Cikunir raya, Bekasi Selatan, Bekasi, Jawa Barat","Rp","2,25 M","7","7","255 m²","Rp 12.032.086 per m²","tel:+628129035434","Hubungi"
"Rumah 2 lantai dlm cluster jatikramat dkt sentrakota, jatibening, pondok gede","Jl. raya mesjid, Jati Bening, Bekasi, Jawa Barat","Rp","925 jt","3","2","90 m²","Rp 11.280.488 per m²","tel:+628129035434","Hubungi"
"Rumah Taman Galaxy Indah Bekasi Selatan","Pulo sirih, Bekasi Selatan, Bekasi, Jawa Barat","Rp","1,12 M","4","2","150 m²","Rp 9.572.650 per m²","tel:+6281281870070","Hubungi"
"Bukit Cijingga Indah","Jl Cijingga ,Serang Cikarang Selatan Bekasi, Cikarang Selatan, Bekasi, Jawa Barat","Rp","418 jt","2","1","38 m²","Rp 6.966.667 per m²","tel:+6285777502673","Hubungi"
"Metland Cibitung",". Jl. Selang Narogong, Cibitung, Bekasi, Jawa Barat","Rp","560 jt","2","1","45 m²","Rp 7.777.778 per m²","tel:+6285777502673","Hubungi"
"Pesona Verbena Babelan","Jl Panjibuono Kedungjaya, Babelan, Bekasi, Jawa Barat","Rp","380 jt","2","1","36 m²","Rp 6.333.333 per m²","tel:+6285777502673","Hubungi"
"Bukit Cijingga Indah","Jl Cijingga serang, Cikarang Selatan, Cikarang Selatan, Bekasi, Jawa Barat","Rp","479 jt","2","1","45 m²","Rp 6.652.778 per m²","tel:+6285777502673","Hubungi"
"Jatiasih","Jl Jepara kp Benda, Jati Sari, Bekasi, Jawa Barat","Rp","600 jt","2","1","75 m²","Rp 7.058.824 per m²","tel:+6281546080420","Hubungi"
"Di Jual Gardenia city 3 Cibitung Dekat Stasiun","Bulak kunyit, Cibitung, Bekasi, Jawa Barat","Rp","168 jt","2","1","30 m²","Rp 2.800.000 per m²","tel:+6282122211939","Hubungi"
"Di Jual Shamandra gardenia","Jl raya Cikarang, Cikarang Utara, Bekasi, Jawa Barat","Rp","179 jt","2","1","30 m²","Rp 2.983.333 per m²","tel:+6282122211939","Hubungi"
"Di Jual Mutiara Citra Residence2 Mcr","Jl raya cikarang, Karangbahagia, Bekasi, Jawa Barat","Rp","168 jt","2","1","27 m²","Rp 2.800.000 per m²","tel:+6282122211939","Hubungi"
"RUMAH MEWAH APARHOUSE 3 lantai BONUS MOTOR","jln asih, Jati Warna, Bekasi, Jawa Barat","Rp","1.285 M","3","3","110 m²","Rp 21.416.666.667 per m²","tel:+6285861175230","Hubungi"
"Rumah Mewah 3lantai cukup booking  10 juta dekat gerbang tol jati asih","komsen, Galaxy, Bekasi, Jawa Barat","Rp","1,7 M","3","3","138 m²","Rp 21.250.000 per m²","tel:+6285861175230","Hubungi"
"RUMAH MEWAH JATIASIH BONUS MOBIL","wibawa mukti jasiasih, Jatiasih, Bekasi, Jawa Barat","","900","2","2","51 m²","Rp 15 per m²","tel:+6281289746101","Hubungi"
"Rumah jatisampurna Murah Dp 2Jt All in","Jatisampurna, Bekasi, Jawa Barat","","999","3","2","60 m²","Rp 11 per m²","tel:+6281289746101","Hubungi"
"Rumah cantik fre biaya lokasi strategis 1kilo ke gerbang tol jatiasih","Jatiasih, Bekasi, Jawa Barat","Rp","1,69 M","3","3","138 m²","Rp 21.125.000 per m²","tel:+6285861175230","Hubungi"
"Di jual Rumah Elegant siap huni 5mnit ke gerbang tol jatiasih","jatiasih, Cibubur, Bekasi, Jawa Barat","Rp","1,691 M","3","3","138 m²","Rp 21.137.500 per m²","tel:+6285861175230","Hubungi"
"Jatiwaringin pondok gede","Jati Waringin, Bekasi, Jawa Barat","Rp","2,7 M","5","5","200 m²","Rp 16.167.665 per m²","tel:+6281311338893","Hubungi"
"Rumah termurah di lippo cikarang","Cikarang Barat, Bekasi, Jawa Barat","Rp","1,15 M","4","2","150 m²","Rp 10.267.857 per m²","tel:+6281311338893","Hubungi"
"Perumahan green park Jatiwarna pondok melati Bekasi","Jati Warna, Bekasi, Jawa Barat","Rp","3,6 M","4","5","300 m²","Rp 16.666.667 per m²","tel:+6281311338893","Hubungi"
"Dijual Rumah Siap Huni di Cluster Aralia Harapan Indah Bekasi","Harapan Indah, Bekasi, Jawa Barat","Rp","1,7 M","4","4","280 m²","Rp 10.625.000 per m²","tel:+6281311338893","Hubungi"
"Cluster ifolia harapan indah Bekasi","Harapan Indah, Bekasi, Jawa Barat","Rp","1,15 M","4","3","126 m²","Rp 9.126.984 per m²","tel:+6281311338893","Hubungi"
"Dijual Rumah Murah Jarang Ada di Cluster Lotus 8 Premium Summarecon Bekasi","Summarecon Bekasi, Bekasi, Jawa Barat","Rp","2,375 M","3","3","145 m²","Rp 16.493.056 per m²","tel:+6281311338893","Hubungi"
"Rumah mewah hook jual cepat di bulevar hijau","Jalan Boulevard Hijau Raya, Boulevard Hijau, Bekasi, Jawa Barat","Rp","3,1 M","5","5","755 m²","Rp 8.244.681 per m²","tel:+6281311338893","Hubungi"
"Aldiva Residence","Aldiva Residence, Mustikajaya, Bekasi, Jawa Barat","Rp","650 jt","2","1","50 m²","Rp 9.848.485 per m²","tel:+6281380934607","Hubungi"
"Kota Harapan Indah","Jl Bekasi Raya, Bekasi, Bekasi, Jawa Barat","Rp","1,9 M","4","3","141 m²","Rp 9.743.590 per m²","tel:+6282112389619","Hubungi"
"Grand Wisata Bekasi","Jl. Jalan Western Boulevard, Tambun, Bekasi, Jawa Barat","Rp","2,73 M","6","4","155 m²","Rp 18.958.333 per m²","tel:+6285694939700","Hubungi"
"SUMMARECON CROWN GADING BEKASI UTARA","Summarecon Bekasi, Bekasi Utara, Bekasi, Jawa Barat","Rp","952 jt","3","3","50 m²","Rp 17.309.091 per m²","tel:+6281268889987","Hubungi"
"SUMMARECON CROWN GADING BEKASI","Summarecon Bekasi, Bekasi, Bekasi, Jawa Barat","Rp","952 jt","3","3","50 m²","Rp 17.309.091 per m²","tel:+6281268889987","Hubungi"
"SUMMARECON CROWN GADING BEKASI","Summarecon Bekasi, Harapan Indah, Bekasi, Jawa Barat","Rp","952 jt","3","3","50 m²","Rp 17.309.091 per m²","tel:+6281268889987","Hubungi"
"SUMMARECON CROWN GADING BEKASI","Summarecon Bekasi, Babelan, Bekasi, Jawa Barat","Rp","952 jt","3","3","50 m²","Rp 17.309.091 per m²","tel:+6281268889987","Hubungi"
"Rumah cluster dijual di jatisampuna Bekasi dekat kampus mercubuana dan tol jatiwarna","Jln, Bekasi Selatan, Bekasi, Jawa Barat","Rp","910 jt","3","2","63 m²","Rp 14.918.033 per m²","tel:+6282190795325","Hubungi"
"Di jual cepat  rumah bangunan baru harga nego di harapan indah bekasi","Cempaka raya, Harapan Indah, Bekasi, Jawa Barat","Rp","575 jt","2","1","50 m²","Rp 8.984.375 per m²","tel:+6287877383791","Hubungi"
"Yuk beli rumah di bulan MERDEKA! DPnya bisa suka-suka! Setu, Bekasi","JL MT HARYONO, Setu, Bekasi, Jawa Barat","Rp","440 jt","2","1","42 m²","Rp 7.333.333 per m²","tel:+6285697752533","Hubungi"
"Dijual rumah hook bebas banjir hook","Bekasi Timur, Bekasi, Jawa Barat","Rp","990 jt","2","1","42 m²","Rp 7.443.609 per m²","tel:+6282111783552","Hubungi"
"Dijual rumah bebas banjir lokasi sangat strategis","Jati Mulya, Bekasi, Jawa Barat","Rp","619,4 jt","2","1","36 m²","Rp 8.602.778 per m²","tel:+6282111783552","Hubungi"
"RUMAH 2 LANTAI DEKAT MALL DI BEKASI","Jl. Western Boulevard, Bekasi Barat, Bekasi, Jawa Barat","Rp","2,529687925 M","4","3","125 m²","Rp 18.069.199 per m²","tel:+6281315397918","Hubungi"
"RUMAH 2 LANTAI DEKAT MALL DI BEKASI","Jl. Western Boulevard, Grand Wisata, Bekasi, Jawa Barat","Rp","2,529687925 M","5","4","125 m²","Rp 18.069.199 per m²","tel:+6281315397918","Hubungi"
"RUMAH VIEW DANAU TANPA DP DI BEKASI","Jl. Western Boulevard Grand Wisata, Bekasi Utara, Bekasi, Jawa Barat","Rp","2,806304531 M","6","4","155 m²","Rp 19.488.226 per m²","tel:+6281315397918","Hubungi"
"RUMAH VIEW DANAU TANPA DP DI BEKASI","Jl. Western Boulevard, Bekasi Timur, Bekasi, Jawa Barat","Rp","2,806304531 M","6","4","155 m²","Rp 19.488.226 per m²","tel:+6281315397918","Hubungi"
"RUMAH MILENIALS GRAND WISATA BEKASI","Jl. Western Boulevard, Bekasi Timur, Bekasi, Jawa Barat","Rp","1,641 M","3","3","88 m²","Rp 24.863.636 per m²","tel:+6281315397918","Hubungi"
"Dijual rumah bebas banjir lokasi sangat strategis","Mustikajaya, Bekasi, Jawa Barat","Rp","619,4 jt","2","1","36 m²","Rp 8.602.778 per m²","tel:+6282111783552","Hubungi"
"Tanpa DP, Free Biaya-biaya di Cluster 2 Lantai Eksklusif","Jaraden, Jatisampurna, Jatisampurna, Bekasi, Jawa Barat","Rp","769,0001 jt","3","2","60 m²","Rp 10.680.557 per m²","tel:+6289503910890","Hubungi"
"Rumah DP 0% Siap Huni di Setu Bekasi","Jl. Jl Ps. Kojengkang, Setu, Bekasi, Jawa Barat","Rp","390 jt","2","1","36 m²","Rp 5.416.667 per m²","tel:+6287717610879","Hubungi"
"Tanpa DP, Free Biaya-biaya di Cluster 2 Lantai Eksklusif","Jatiraden, jatisampurna, Cibubur, Bekasi, Jawa Barat","Rp","769,0002 jt","3","2","60 m²","Rp 10.680.558 per m²","tel:+6289503910890","Hubungi"
"Grand Galaxy City",". Jl Galaxy Raya, Jakasetia, Bekasi Selatan, Galaxy, Bekasi, Jawa Barat","Rp","750 jt","2","2","72 m²","Rp 8.928.571 per m²","tel:+6285702645852","Hubungi"
"Di jual rumah milenial Grand Duta City 3 kmar tidur","Jl. Boulevard Grand Duta City, Babelan, Bekasi, Jawa Barat","Rp","1,3 M","3","2","88 m²","Rp 12.380.952 per m²","tel:+6282150177779","Hubungi"
"Rumah Dp 0% di Bekasi Utara","Bekasi Utara, Bekasi, Jawa Barat","Rp","300 jt","2","1","36 m²","Rp 5.000.000 per m²","tel:+62811915620","Hubungi"
"Rumah Dp 0% Dekat Jakarta Utara","Bekasi Utara, Bekasi, Jawa Barat","Rp","375 jt","2","1","36 m²","Rp 6.250.000 per m²","tel:+62811915620","Hubungi"
"Rumah Tanpa Dp","Bekasi Utara, Bekasi, Jawa Barat","Rp","375 jt","2","1","36 m²","Rp 6.250.000 per m²","tel:+62811915620","Hubungi"
"Lippo Cikarang","Jl. MH. Thamrin, Kel. Sukaresmi Cibatu Serang, Cikarang Selatan, Bekasi, Jawa Barat","Rp","780 jt","2","2","55 m²","Rp 13.000.000 per m²","tel:+6282122313027","Hubungi"
"Lippo Cikarang","Jl. MH. Thamrin, Kel. Sukaresmi Cibatu Serang, Cikarang Selatan, Bekasi, Jawa Barat","Rp","2,250308 M","3","3","105 m²","Rp 10.466.549 per m²","tel:+6282122313027","Hubungi"
"Jual Cepat Rumah Minimalis Strategis Dekat Grand Wisata Harga All In Bisa KPR","Grand Wisata, Bekasi, Jawa Barat","Rp","1,17 M","2","2","120 m²","Rp 10.263.158 per m²","tel:+6282125399395","Hubungi"
"Dijual Rumah Cantik 2 Lantai di Permata Wisata Siap Huni Siap KPR Harga All In","Mustikajaya, Bekasi, Jawa Barat","Rp","1,17 M","2","2","120 m²","Rp 10.263.158 per m²","tel:+6282125399395","Hubungi"
"Rumah Murah di Ujung Harapan Bekasi 265 jt cash","Jl Ujung Harapan, Babelan, Bekasi, Jawa Barat","Rp","275 jt","2","1","40 m²","Rp 5.500.000 per m²","tel:+6281212335979","Hubungi"
"Grand Wisata Boulevard","Jl. Bima Utama Raya, Lambang Sari, Tambun, Bekasi, Jawa Barat","Rp","1,577 M","3","3","88 m²","Rp 23.893.939 per m²","tel:+6283819403634","Hubungi"
"Grand Wisata Bekasi Cherryville 2","Tambun, Bekasi, Jawa Barat","Rp","1,88 M","4","3","100 m²","Rp 13.428.571 per m²","tel:+6283819403634","Hubungi"
"Pondok Pekayon Indah","Jl Raya Pekayon, Pekayon, Bekasi, Pondok Pekayon Indah, Bekasi, Jawa Barat","Rp","1,1 M","2","2","150 m²","Rp 11.224.490 per m²","tel:+6281385924277","Hubungi"
"Bekasi, Pondok Pekayon indah","PPI, Pekayon Jaya, Bekasi, Jawa Barat","Rp","900 jt","4","2","120 m²","Rp 10.000.000 per m²","tel:+6283807100830","Hubungi"
"1 Rumah mewah dijakasetia galaxy bekasi","Jln boulevard jakasetia galaxy bekasi jawabarat, Galaxy, Bekasi, Jawa Barat","Rp","2,5 M","4","5","400 m²","Rp 12.500.000 per m²","tel:+6285263283888","Hubungi"
"TERMURAH RUMAH CANTIK HARAPAN INDAH FURNISHED BEBAS BANJIR","Harapan Indah, Bekasi, Jawa Barat","Rp","850 jt","2","1","50 m²","Rp 12.686.567 per m²","tel:+6282112544320","Hubungi"
"MORIZEN SUMMARECON BEKASI","CLUSTER MORIZEN, Bekasi Barat, Bekasi, Jawa Barat","Rp","2,8 M","4","4","151 m²","Rp 21.538.462 per m²","tel:+62818525122","Hubungi"
"Jati sampurna","Jatisampurna, Bekasi, Jawa Barat","Rp","981 jt","3","2","72 m²","Rp 16.350.000 per m²","tel:+6287785677796","Hubungi"
"Cluster Bintara Jaya","Jl Bintara Jaya Vlll, Bintara Jaya, Bekasi Barat, Bintara Jaya, Bekasi, Jawa Barat","Rp","850 jt","3","2","100 m²","Rp 14.166.667 per m²","tel:+628568642729","Hubungi"
"Rumah murah fasilitas kolam renang Jatisampurna Bekasi diapit 4 pintu tol jatiasih jatiwarna cibubur","Jatisampurna, Bekasi, Jawa Barat","Rp","1,08 M","3","2","77 m²","Rp 12.857.143 per m²","tel:+6285697446664","Hubungi"
"Cluster Heliconia Extention","Harapan Indah, Bekasi, Jawa Barat","Rp","3,5 M","5","4","400 m²","Rp 11.326.861 per m²","tel:+6282211111976","Hubungi"
"Cluster cantik jati asih","Jatiasih, Bekasi, Jawa Barat","Rp","849 jt","4","3","87 m²","Rp 12.863.636 per m²","tel:+6287785677796","Hubungi"
"Rumah siap huni luas 6x15 90m2 type 2KT di Cluster Mutiara Gading City Bekasi","Cluster Mutiara Gading City Bekasi, Setu, Bekasi, Jawa Barat","Rp","700 jt","2","1","45 m²","Rp 7.777.778 per m²","tel:+6285775559584","Hubungi"
"Cluster asia tropis harapan indah","Harapan Indah, Bekasi, Jawa Barat","Rp","4,3 M","5","5","300 m²","Rp 14.333.333 per m²","tel:+6281298555758","Hubungi"
"Rumah Minimalis Siap Huni Dlm Perum Besar Di Kodau Jatimekar","Kodau, Pondokgede, Bekasi, Jawa Barat","Rp","750 jt","3","1","50 m²","Rp 10.273.973 per m²","tel:+6281282940124","Hubungi"
"Maple Summarecon Bekasi","Summarecon Bekasi, Bekasi Utara, Bekasi, Jawa Barat","Rp","2,4 M","3","3","156 m²","Rp 16.666.667 per m²","tel:+6281212110711","Hubungi"
"Amna residence","Jl lame blok mesjid jatikarya, Jatisampurna, Bekasi, Jawa Barat","Rp","500 jt","2","1","37 m²","Rp 10.000.000 per m²","tel:+6285813497489","Hubungi"
"sagarajaya","Tarumajaya, Bekasi, Jawa Barat","Rp","450 jt","2","1","38 m²","Rp 7.500.000 per m²","",""
"Jatisari Jatiasih","Jalan Sirojul Munir, Jati Sari, Bekasi, Jawa Barat","Rp","595 jt","2","1","60 m²","Rp 6.467.391 per m²","",""
"Jatimakmur","Jalan jatimakmur, Jati Makmur, Bekasi, Jawa Barat","Rp","1,65 M","4","4","130 m²","Rp 15.420.561 per m²","",""
"Dijual Rumah Baru, Mewah & Murah 3 Kamar dekat ke jalan raya di Kodau Jatimekar","Jalan Kodau, Jatiasih, Bekasi, Jawa Barat","Rp","1,15 M","3","2","98 m²","Rp 10.952.381 per m²","",""
"Dijual rumah baru di Arana HI2","Tarumajaya, Bekasi, Jawa Barat","Rp","2,2 M","4","3","124 m²","Rp 15.277.778 per m²","",""
"Jatikramat, Jatiwarna Bekasi","Jatikramat, Jatiwarna Bekasi, Jati Warna, Bekasi, Jawa Barat","Rp","650 jt","2","1","36 m²","Rp 9.027.778 per m²","",""
"Kota Harapan Indah","Jl Bekasi Raya, Bekasi, Bekasi, Jawa Barat","Rp","5 M","5","4","400 m²","Rp 18.115.942 per m²","",""
"dijual cepat BU rumah siap huni di perumahan bina satria bekasi","perumahan bina satria bekasi, Babelan, Bekasi, Jawa Barat","Rp","550 jt","3","2","60 m²","Rp 9.166.667 per m²","",""
