"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","hidden-sm","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Rumah Murah Lt 8x17 Jakarta Garden City Cluster Thames","Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","2,45 M","4","3","90 m²","Hubungi","Rp 18.014.706 per m²","",""
"rumah cluster la seine jakarta garden city","Jakarta Garden City/JGC, Jakarta Timur, DKI Jakarta","Rp","2,3 M","4","3","90 m²","Hubungi","Rp 25.555.556 per m²","",""
"READY! Smarthome Mewah Super Strategis hanya 1 km dari Pintu Tol Setu & Tol Bambu Apus Jakarta","Jln Raya Bambu Apus, Cilangkap, Jakarta Timur, DKI Jakarta","Rp","1,5 M","3","2","78 m²","Hubungi","Rp 19.736.842 per m²","",""
"HUNIAN EROPA MEWAH DI CIBUBUR DEKET LRT DAN TOL 800 JUTAAN","Jln Kapitan Raya CIbubur, Cipayung, Jakarta Timur, DKI Jakarta","Rp","880 jt","3","2","72 m²","Hubungi","Rp 12.222.222 per m²","",""
"RUMAH MEWAH EROPA 700 JUTAAN AKSES DEKET TOL & LRT CIBUBUR","Jln Raya Gas Alam Cibubur, Cibubur, Jakarta Timur, DKI Jakarta","Rp","779 jt","3","2","72 m²","Hubungi","Rp 15.580.000 per m²","",""
"DIJUAL CLUSTER LA SEINE UNIT MURAH SEMI FURNISHED","Jakarta Garden City, Cakung, Jakarta Timur, DKI Jakarta","Rp","1,9 M","4","3","76 m²","Hubungi","Rp 18.627.451 per m²","",""
"Rumah Baru Dekat Mall AEON Tanjung Barat Jakarta Selatan","Jl. Desa Putera Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","2,5 M","3","3","96 m²","Hubungi","Rp 19.841.270 per m²","",""
"Pantai Indah Kapuk Cluster Cendana","Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","5,85 M","4","5","200 m²","Hubungi","Rp 40.625.000 per m²","",""
"Rumah Murah Wijaya kusuma","Jl Wijaya kusuma, Grogol Petamburan, Jakarta Barat, DKI Jakarta","Rp","4,9 M","3","3","290 m²","Hubungi","Rp 14.000.000 per m²","",""
"Rumah Menteng Jakarta Pusat","Menteng, Menteng, Jakarta Pusat, DKI Jakarta","Rp","45 M","7","8","548 m²","Hubungi","Rp 61.391.542 per m²","",""
"Rumah Mewah Siap Huni Pantai Indah Kapuk - Cluster Kano","Pantai Indah Kapuk - Cluster Kano, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","39 M","10","10","1300 m²","Hubungi","Rp 60.937.500 per m²","",""
"Rumah Mewah","Pondok Indah, Pondok Indah, Jakarta Selatan, DKI Jakarta","Rp","35 M","4","5","600 m²","Hubungi","Rp 58.333.333 per m²","",""
"Rumah Mewah Brandnew PIK Pantai Indah Kapuk","Pantai indah Kapuk Jakarta Utara, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","32 M","4","3","600 m²","Hubungi","Rp 98.461.538 per m²","",""
"For Sale Rumah Mewah Dekat Dari Pondok Indah Jakarta Selatan","Pondok indah, Pondok Indah, Jakarta Selatan, DKI Jakarta","Rp","16,9 M","6","4","300 m²","Hubungi","Rp 28.166.667 per m²","",""
"Sambas Kebayoran Baru","Jalan Sungai Sambas, Kebayoran Baru, Jakarta Selatan, DKI Jakarta","Rp","21 M","5","3","360 m²","Hubungi","Rp 84.000.000 per m²","",""
"Taman Palem Lestari","Jl. Taman Palem Lestari, Jakarta Barat, DKI Jakarta","Rp","1,225 M","2","2","60 m²","Hubungi","Rp 20.416.667 per m²","",""
"Cilandak timur","Kemang, Jakarta Selatan, DKI Jakarta","Rp","67,5 jt","5","4","540 m²","Hubungi","Rp 71.053 per m²","",""
"Citra Garden City 6",". Jl. Satu Maret, Kali Deres, Jakarta, Kali Deres, Jakarta Barat, DKI Jakarta","Rp","3,8 M","4","3","216 m²","Hubungi","Rp 2.533.333 per m²","",""
"citra garden 8","citra garden 8, Kali Deres, Jakarta Barat, DKI Jakarta","Rp","6,3 M","4","4","270 m²","Hubungi","Rp 35.000.000 per m²","",""
"CITRA GARDEN 8","CitraGarden City, Kalideres, Jakarta Barat, Kali Deres, Jakarta Barat, DKI Jakarta","Rp","6,5 M","5","4","270 m²","Hubungi","Rp 27.083.333 per m²","",""
"Gold Coast PIK","Jl. Pantai Indah Kapuk, RT.8/RW.1, Kamal Muara, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta, Penjaringan, Jakarta Utara, DKI Jakarta","Rp","11 M","5","5","400 m²","Hubungi","Rp 366.666.667 per m²","",""
"Rumah  SHM 700 Jutaan Di Graha Bintaro Termurah Dijamin","Jl. Mi'ih Raya Pd. Serut, Paku Jaya, Kec. Serpong, Kebayoran Lama, Jakarta Selatan, DKI Jakarta","Rp","790 jt","2","1","40 m²","Hubungi","Rp 13.166.667 per m²","",""
"Rumah Taman Aries, Luas 400 m², 3 Lantai, Kolam Renang - 08 1212 560560","Taman Aries Kembangan, Kembangan, Jakarta Barat, DKI Jakarta","Rp","12,6 M","6","4","800 m²","Hubungi","Rp 31.500.000 per m²","",""
"Pantai Indah Kapuk","Cendana Bgm Pik, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","9,8 M","4","3","300 m²","Hubungi","Rp 42.608.696 per m²","",""
"Rumah BGM Pantai Indah Kapuk","Bgm pik, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","18,8 M","5","6","550 m²","Hubungi","Rp 48.205.128 per m²","",""
"Dijual rumah PIK 1  Cluster Kano","pantai indah kapuk, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","4,7 M","3","3","260 m²","Hubungi","Rp 50.537.634 per m²","",""
"Dijual Rumah Pik 2 Riverside 9x12. 5","pantai indah kapuk, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","3,3 M","3","3","107 m²","Hubungi","Rp 29.464.286 per m²","",""
"Dijual Rumah Golf Island Ukuran 12x20","Pantai Indah Kapuk, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","12 M","3","3","480 m²","Hubungi","Rp 50.000.000 per m²","",""
"Dijual Rumah Garden House 8x17","Pantai Indah Kapuk, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","5,3 M","3","3","272 m²","Hubungi","Rp 38.970.588 per m²","",""
"Rumah Full Furnish Sunter Agung Termurah","Sunter agung, Sunter, Jakarta Utara, DKI Jakarta","Rp","6,5 M","6","8","400 m²","Hubungi","Rp 28.888.889 per m²","",""
"Mewah Ada Kolam Renang Pribadi, Jalan Lebar, Nempel Ragunan-Cilandak","Jagakarsa, Jakarta Selatan, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","4,8 M","5","5","240 m²","Hubungi","Rp 24.615.385 per m²","",""
"Kelapa lilin kelapa gading","Kelapa lilin, Kelapa Gading, Jakarta Utara, DKI Jakarta","Rp","3,5 M","5","5","330 m²","Hubungi","Rp 35.353.535 per m²","",""
"Rumah Mewah Pondok indah","Pondok indah, Pondok Indah, Jakarta Selatan, DKI Jakarta","Rp","35 M","4","4","600 m²","Hubungi","Rp 55.555.556 per m²","",""
"Murah Rumah Tua Pluit","Pluit selatan, Pluit, Jakarta Utara, DKI Jakarta","Rp","4,2 M","2","1","200 m²","Hubungi","Rp 21.000.000 per m²","",""
"Beautiful tropical house with nice garden and private pool in Cilandak Cipete area","Cilandak area, Cilandak, Jakarta Selatan, DKI Jakarta","Rp","15,5 M","4","4","430 m²","Hubungi","Rp 39.440.204 per m²","",""
"Rumah 8x15 PIK2 Cluster Springville","PIK 2, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","4,1 M","3","3","160 m²","Hubungi","Rp 34.166.667 per m²","",""
"Rumah Tahap 1&2 PIK2","Jl. Marina Raya Jl. Pantai Indah Kapuk No.1, RT.7/RW.2, Kamal Muara, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta, Penjaringan, Jakarta Utara, DKI Jakarta","Rp","1,8 M","3","3","87 m²","Hubungi","Rp 40.000.000 per m²","",""
"Menteng Rumah Terawat","Menteng, Menteng, Jakarta Pusat, DKI Jakarta","Rp","42.950 M","5","4","470 m²","Hubungi","Rp 82.755.298.651 per m²","",""
"Puri Mansion","Jl. Puri Kembangan, Kembangan, Jakarta Barat, DKI Jakarta","Rp","3,5 M","3","3","200 m²","Hubungi","Rp 29.166.667 per m²","",""
"Green lake city","Duri Kosambi, Jakarta Barat, DKI Jakarta","Rp","4,3 M","3","2","250 m²","Hubungi","Rp 29.861.111 per m²","",""
"Dijual Rumah mewah katamaran permai pik","Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","23 M","5","5","900 m²","Hubungi","Rp 50.549.451 per m²","",""
"Tamansari","Jl. Tamansari 3, Taman Sari, Jakarta Barat, DKI Jakarta","Rp","562,116 jt","2","2","42 m²","Hubungi","Rp 25.550.727 per m²","",""
"Rumah Intercon Kebon Jeruk Dijual - Luas 652m2 - Hook - Hadap Timur","Intercon Kebon Jeruk, Kebon Jeruk, Jakarta Barat, DKI Jakarta","Rp","14,9 M","7","4","526 m²","Hubungi","Rp 22.852.761 per m²","",""
"Rumah dua Lantai di palmerah Jakarta barat","Pal merah Jakarta Barat, Palmerah, Jakarta Barat, DKI Jakarta","Rp","1,595 M","3","2","66 m²","Hubungi","Rp 35.444.444 per m²","",""
"Cempaka putih tengah","Cempaka putih tengah, Cempaka Putih, Jakarta Pusat, DKI Jakarta","Rp","1,736 M","3","3","106 m²","Hubungi","Rp 48.222.222 per m²","",""
"Rumah Brand New Maison De Wiseria Cakung Jakarta Timur","Cakung, Jakarta Timur, DKI Jakarta","Rp","3,1 M","4","3","144 m²","Hubungi","Rp 25.833.333 per m²","",""
"Cipinang kebembem","Jl. Cipinang kebembem, Cipinang, Jakarta Timur, DKI Jakarta","Rp","1,08141 M","2","2","69 m²","Hubungi","Rp 30.897.429 per m²","",""
"Nego Rumah Modern Classic Mewah, Dalam Townhouse-Lebak Bulus-Full Furnished","Lebak Bulus, Jakarta Selatan, DKI Jakarta","Rp","4 M","5","4","150 m²","Hubungi","Rp 32.520.325 per m²","",""
"Tanjung duren","Grogol Petamburan, Jakarta Barat, DKI Jakarta","Rp","5,5 M","10","10","275 m²","Hubungi","Rp 60.439.560 per m²","",""
"Muara Karang","Muara Karang, Muara Karang, Jakarta Utara, DKI Jakarta","Rp","4 M","4","3","200 m²","Hubungi","Rp 33.333.333 per m²","",""
"Dijual rumah klasik elegant di lokasi premium Pondok Indah","Pondok Indah, Jakarta Selatan, DKI Jakarta","Rp","38 M","4","4","750 m²","Hubungi","Rp 53.295.933 per m²","",""
"Dijual rumah asri bernuansa resort di Jagakarsa","Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","7,6 M","4","3","400 m²","Hubungi","Rp 9.693.878 per m²","",""
"Dijual rumah klasik dalam housing compound dengan private pool di Kemang area","Kemang, Jakarta Selatan, DKI Jakarta","Rp","13,5 M","4","4","444 m²","Hubungi","Rp 31.468.531 per m²","",""
"Dijual rumah klasik dalam housing compound dengan private pool di Kemang area","Kemang, Jakarta Selatan, DKI Jakarta","Rp","13,5 M","4","4","444 m²","Hubungi","Rp 31.468.531 per m²","",""
"Modern Elegant House in Bintaro Jaya Sektor 7","Kebayoran Residence, Bintaro, Jakarta Selatan, DKI Jakarta","Rp","15 M","5","4","450 m²","Hubungi","Rp 23.771.791 per m²","",""
"Rumah Tahap 1&2 PIK2","Jl. Marina Raya Jl. Pantai Indah Kapuk No.1, RT.7/RW.2, Kamal Muara, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta, Penjaringan, Jakarta Utara, DKI Jakarta","Rp","10,571 M","4","1","250 m²","Hubungi","Rp 32.033.333 per m²","",""
"Dijual Rumah Siap Huni di Intercon Kebon Jeruk","Kebon Jeruk, Jakarta Barat, DKI Jakarta","Rp","9 M","5","3","375 m²","Hubungi","Rp 30.000.000 per m²","",""
"cibubur","jalan dalang, Cibubur, Jakarta Timur, DKI Jakarta","Rp","1,0257975 M","3","2","60 m²","Hubungi","Rp 11.030.081 per m²","",""
"Rumah terawat, bagus dgn halaman yg luas di area Ampera-Kemang","Ampera, Jakarta Selatan, DKI Jakarta","Rp","35 M","4","3","700 m²","Hubungi","Rp 21.875.000 per m²","",""
"Town house mewah harga murah dekat toll pondok gede pondok bambu","Pangkalan jati, kalimalang, Makasar, Jakarta Timur, DKI Jakarta","Rp","2,092 M","3","3","112 m²","Hubungi","Rp 25.512.195 per m²","",""
"Taman Permata Buana","Jl. Kembangan Raya, Jakarta Barat, DKI Jakarta","Rp","7,2 M","4","3","350 m²","Hubungi","Rp 40.000.000 per m²","",""
"Jagakarsa","Komplek villa raisan, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","1,7 M","3","3","250 m²","Hubungi","Rp 13.076.923 per m²","",""
"kuningan","Setia Budi, Jakarta Selatan, DKI Jakarta","Rp","83 M","6","7","2500 m²","Hubungi","Rp 79.047.619 per m²","",""
"Widychandra","Gatot Subroto, Jakarta Selatan, DKI Jakarta","Rp","70 M","8","10","4600 m²","Hubungi","Rp 65.666.041 per m²","",""
"Pondok Kelapa Indah","Pondok Kelapa, Duren Sawit, Pondok Kelapa, Jakarta Timur, DKI Jakarta","Rp","1,8 M","3","2","36 m²","Hubungi","Rp 25.352.113 per m²","",""
"Rumah Hook Duren Sawit Lokasi Strategis Nego Sampai Deal","Duren Sawit, Jakarta Timur, DKI Jakarta","Rp","5 M","4","3","300 m²","Hubungi","Rp 12.500.000 per m²","",""
"Rumah PIK BGM Uk 10x23 Sudah Renov Jalan Super Lebar","Pantai Indah Kapuk, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","8,85 M","4","3","300 m²","Hubungi","Rp 38.478.261 per m²","",""
"Perum Muara Karang",". Jl. Muara Karang Raya, Jakarta Utara, Muara Karang, Jakarta Utara, DKI Jakarta","Rp","2,4 M","3","2","85 m²","Hubungi","Rp 23.529.412 per m²","",""
"Puri Mansion","Jl. Puri Kembangan, Kembangan, Jakarta Barat, DKI Jakarta","Rp","4,8 M","4","3","250 m²","Hubungi","Rp 32.000.000 per m²","",""
"GRIYA AYU PROPERTY","Jl . Jankes AD Munjul Cipayung Jaktim, Cipayung, Jakarta Timur, DKI Jakarta","Rp","750 jt","3","1","55 m²","Hubungi","Rp 10.416.667 per m²","",""
"DIJUAL CEPAT TERMURAH RUMAH PIK2 UKURAN 4, 5x10 HARGA 1, 3M SAJA !","Pantai Indah Kapuk 2, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","1,4 M","2","2","62 m²","Hubungi","Rp 31.111.111 per m²","",""
"Rumah Pejaten","Buncit, Jakarta Selatan, DKI Jakarta","Rp","12,5 M","5","4","207 m²","Hubungi","Rp 31.250.000 per m²","",""
"Golden Bintaro, Istana Menawan dalam Kawasan Idaman Kualitas Unggulan Harga irit Cuan","Bintaro, jl. Masjid Al-Huda, Bintaro, Jakarta Selatan, DKI Jakarta","Rp","650 jt","3","2","45 m²","Hubungi","Rp 10.833.333 per m²","",""
"Kebon jeruk  0813 1515 4481","Angrek, Jalan Panjang, Jakarta Barat, DKI Jakarta","Rp","4,052 M","4","5","171 m²","Hubungi","Rp 40.520.000 per m²","",""
"Rumah asri di cilandak jakarta selatan","jl keuangan 1, Cilandak, Jakarta Selatan, DKI Jakarta","Rp","7,8 M","6","6","250 m²","Hubungi","Rp 23.008.850 per m²","",""
"SAVIA PREMIER Hunian Nyaman Dan Asri","Jl Nakula Harjamukti Cimanggis, Cibubur, Jakarta Timur, DKI Jakarta","Rp","1,73565 M","4","3","100 m²","Hubungi","Rp 22.251.923 per m²","",""
"PIK 2 Sedayu Indo City","Jalan Marina Indah Raya No.1 ​Pantai Indah Kapuk, Kamal, Jakarta Utara, DKI Jakarta","Rp","2 M","3","3","87 m²","Hubungi","Rp 44.444.444 per m²","",""
"Grand triasih di ciracas","jl raya kelapa dua wetan no 42, Ciracas, Jakarta Timur, DKI Jakarta","Rp","1,1996 M","3","2","68 m²","Hubungi","Rp 19.993.333 per m²","",""
"GTA rumah modern tropis ciracas","Kelapa dua wetan no 42 Ciracas Jakarta timur, Ciracas, Jakarta Timur, DKI Jakarta","Rp","1,75 M","3","2","75 m²","Hubungi","Rp 15.909.091 per m²","",""
"Rumah Jagakarsa jl. Mohammad Kahfi 1 Boulevard","Jl Muhammad Khafi, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","16,9 M","10","4","479 m²","Hubungi","Rp 28.888.889 per m²","",""
"JUAL MURAH RUMAH PIK 2 (8x10) harga 2. 4M NEPIS","PIK, PANTAI INDAH KAPUK, JAKARTA, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","2,4 M","3","2","105 m²","Hubungi","Rp 30.000.000 per m²","",""
"Dijual rumah full furniture ada kolam renang. Di Jagakarsa, Jakarta Selatan.","jagakarsa Jakarta Selatan, Jagakarsa, Jakarta Selatan, DKI Jakarta","Rp","6 M","4","3","168 m²","Hubungi","Rp 30.000.000 per m²","",""
"Dijual Aparthouse Modern di Ampera Kemang Dibawah 2M - Semaya Living","Ampera, Jakarta Selatan, DKI Jakarta","Rp","1,744 M","2","2","108 m²","Hubungi","","",""
"Rumahh Cempaka Putih","JL. Cempaka Warna, Cempaka Putih, Jakarta Pusat, DKI Jakarta","Rp","3,3 M","5","4","210 m²","Hubungi","Rp 20.625.000 per m²","",""
"Condet raya","Al mabruk, Condet, Jakarta Timur, DKI Jakarta","Rp","775 jt","4","2","80 m²","Hubungi","Rp 19.375.000 per m²","",""
"Cluster tanjung barat","Tanjung barat, Tanjung Barat, Jakarta Selatan, DKI Jakarta","Rp","1,7 M","3","3","80 m²","Hubungi","Rp 30.357.143 per m²","",""
"Taman sari mangga besar","Jalan taman sari 3 jakarta barat, Mangga Besar, Jakarta Barat, DKI Jakarta","Rp","553,2 jt","2","2","39 m²","Hubungi","Rp 25.145.455 per m²","",""
"Jalan angkasa kemayoran","Jalan angkasa kemayoran jakarta pusat, Kemayoran, Jakarta Pusat, DKI Jakarta","Rp","494,3 jt","2","2","42 m²","Hubungi","Rp 18.307.407 per m²","",""
"Pisangan","Jaln pisangan baru utara, Matraman, Jakarta Timur, DKI Jakarta","Rp","841 jt","3","2","63 m²","Hubungi","Rp 21.025.000 per m²","",""
"Polau gadung","Jalan lio 2, Cakung, Jakarta Timur, DKI Jakarta","Rp","1,0132 M","2","2","68 m²","Hubungi","Rp 23.027.273 per m²","",""
"Claster mandala hunian hoki","Jalan catur nungga 2 pisangan baru jakarta timur, Cipinang, Jakarta Timur, DKI Jakarta","Rp","822,375 jt","2","2","68 m²","Hubungi","Rp 24.920.455 per m²","",""
"pasar rebo jakarta timur Dp 0%","kalisari, Cijantung, Jakarta Timur, DKI Jakarta","Rp","1,39 M","4","2","100 m²","Hubungi","Rp 17.375.000 per m²","",""
"Cipinang","Janlan cipinang baru raya, Cipinang, Jakarta Timur, DKI Jakarta","Rp","1,9095 M","4","3","87 m²","Hubungi","Rp 26.520.833 per m²","",""
"Cipinang","Jalan cipinang kebembem 3, Cipinang, Jakarta Timur, DKI Jakarta","Rp","1,1353 M","3","2","61 m²","Hubungi","Rp 24.155.319 per m²","",""
"taman sari resident jakrta barat","Jalan taman sari 111 jakarta barat, Sawah Besar, Jakarta Barat, DKI Jakarta","Rp","611,2 jt","2","2","39 m²","Hubungi","Rp 25.466.667 per m²","",""
"Rumah siap huni full furnish di lebak bulus","jl karang tengah, Lebak Bulus, Jakarta Selatan, DKI Jakarta","Rp","3,95 M","5","4","123 m²","Hubungi","Rp 26.333.333 per m²","",""
"Lebak bulus Cilandak Jakarta Selatan","Cilandak, Jakarta Selatan, DKI Jakarta","Rp","4,999 M","4","2","190 m²","Hubungi","Rp 14.282.857 per m²","",""
"Kelapa Gading Sedayu City","Kelapa Gading, Jakarta Utara, DKI Jakarta","Rp","5,5 M","5","3","180 m²","Hubungi","Rp 61.111.111 per m²","",""
"Perdatam Pancoran Komplek Brand New Rooftop Luxury","Perdatam Pancoran Komplek, Pancoran, Jakarta Selatan, DKI Jakarta","Rp","7,5 M","6","5","300 m²","Hubungi","Rp 53.571.429 per m²","",""
"Rumah PIK Uk 8x20 Full Renov Full Furnish","PIK, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","7 M","4","4","280 m²","Hubungi","Rp 43.750.000 per m²","",""
"Citra garden","Jl.raya Boulevard,citra garden 2 ,kalideres,, Citra Garden, Jakarta Barat, DKI Jakarta","Rp","5,89 M","3","3","275 m²","Hubungi","Rp 16.361.111 per m²","",""
"Rumah Kebun Jabir 88","Jalan Jabir No.88 Ragunan, Ragunan, Jakarta Selatan, DKI Jakarta","Rp","16 M","3","3","265 m²","Hubungi","Rp 15.825.915 per m²","",""
"Rumah Langka Siap Huni Area Kebayoran Baru","Kebayoran Baru, Jakarta Selatan, DKI Jakarta","Rp","5,95 M","3","3","160 m²","Hubungi","Rp 58.910.891 per m²","",""
"Rumah Permata Buana Luas 144 m2 Full renovasi!","Permata Buana, Permata Buana, Jakarta Barat, DKI Jakarta","Rp","4,9 M","3","2","250 m²","Hubungi","Rp 34.027.778 per m²","",""
"Cluster Atherton Kota Wisata Cibubur Tanpa DP","Jl. Boulevard, Cibubur, Jakarta Timur, DKI Jakarta","Rp","5,714173 M","5","6","333 m²","Hubungi","Rp 23.809.054 per m²","",""
"Rumah Tebet Timur","Tebet timur Dalam, Tebet Dalam, Jakarta Selatan, DKI Jakarta","Rp","9,3 M","4","5","540 m²","Hubungi","Rp 30.392.157 per m²","",""
"Full Bata Merah DiJatiwaringin Cluster Baru Termurah","Jatiwaringin Bekasi, Duren Sawit, Jakarta Timur, DKI Jakarta","","900","2","2","75 m²","Hubungi","Rp 16 per m²","",""
"Dijual Rumah 2 Lantai, Area Tomang Uk 10x14, Garasi 2 mobil","Tomang, Tomang, Jakarta Barat, DKI Jakarta","Rp","3 M","3","2","150 m²","Hubungi","Rp 22.058.824 per m²","",""
"Dijual Rumah 1. 5 lantai Area Tomang, 400m2, Cluster, bebas banjir","Kamboja, Palmerah, Jakarta Barat, DKI Jakarta","Rp","10 M","5","3","400 m²","Hubungi","Rp 22.988.506 per m²","",""
"Dijual Rumah Area Tomang Siap Huni, 3lantai, bebas banjir","tomang, Tomang, Jakarta Barat, DKI Jakarta","Rp","4,3 M","4","3","200 m²","Hubungi","Rp 39.090.909 per m²","",""
"cipayung jakarta timur","jl semar munjul jakarta timur, Cipayung, Jakarta Timur, DKI Jakarta","Rp","826 jt","3","3","60 m²","Hubungi","Rp 11.472.222 per m²","",""
"Rumah 2 lantai konsep kota mandiri dekat dengan toll sawangan","Bintaro, Jakarta Selatan, DKI Jakarta","Rp","1,37 M","3","2","88 m²","Hubungi","Rp 13.047.619 per m²","",""
"Di jual rumah 2 lantai konsep kota mandiri dekat dengan toll kayu manis","Lebak Bulus, Jakarta Selatan, DKI Jakarta","Rp","1,4 M","3","2","88 m²","Hubungi","Rp 13.333.333 per m²","",""
"Di jual rumah 2 lantai konsep kota mandiri dekat dengan toll kayu manis","Lebak Bulus, Jakarta Selatan, DKI Jakarta","Rp","1,4 M","3","2","88 m²","Hubungi","Rp 13.333.333 per m²","",""
"Jual Cepat 9, 5 M Semi Furnish Rumah Mewah Bonus Kost 19 Pintu Appraisal 12, 3 M Lebak Bulus Jakarta","Lebak Bulus Jakarta Selatan, Lebak Bulus, Jakarta Selatan, DKI Jakarta","Rp","9 M","7","5","750 m²","Hubungi","Rp 14.062.500 per m²","",""
"Pondok Indah","Alam Segar, Pondok Indah, Jakarta Selatan, DKI Jakarta","Rp","5,5 M","5","3","210 m²","Hubungi","Rp 29.411.765 per m²","",""
"Kemang Dalam","Kemang Dalam, Kemang, Jakarta Selatan, DKI Jakarta","Rp","23 M","7","4","700 m²","Hubungi","Rp 25.219.298 per m²","",""
"Rumah Dijual","Kemang Dalam Timur, Kemang, Jakarta Selatan, DKI Jakarta","Rp","20 M","5","3","800 m²","Hubungi","Rp 22.547.914 per m²","",""
"Di jual rumah golf island","Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","9 M","3","3","311 m²","Hubungi","Rp 45.000.000 per m²","",""
"DIJUAL RUMAH MEWAH MODERN HARGA 700 JUTAAN SHM DI TANAH LIO, JATINEGARA, CAKUNG, JAKARTA TIMUR","Jl. Lio 2 No 1 RT 001/11 Jatinegara Cakung, Jatinegara, Jakarta Timur, DKI Jakarta","Rp","709 jt","3","3","57 m²","Hubungi","Rp 19.162.162 per m²","",""
"DIJUAL RUMAH MURAH AKSES MOBIL DI PISANGAN BARU, MATRAMAN, JAKARTA TIMUR","Jl. Pisangan Baru Tengah, Matraman, Jakarta Timur, DKI Jakarta","Rp","640 jt","2","1","50 m²","Hubungi","Rp 22.068.966 per m²","",""
"DIJUAL RUMAH MEWAH DI CEMPAKA PUTIH JAKARTA PUSAT","Jl. Cempaka Putih Tengah 18A, Cempaka Putih, Jakarta Pusat, DKI Jakarta","Rp","1,485 M","2","3","68 m²","Hubungi","Rp 41.250.000 per m²","",""
"Jual rmh huk murah bagus","Kelapa Gading, Kelapa Gading, Jakarta Utara, DKI Jakarta","Rp","2,6 M","5","4","150 m²","Hubungi","Rp 16.560.510 per m²","",""
"Taman sari jakarta barat","Taman Sari, Jakarta Barat, DKI Jakarta","Rp","528 jt","2","2","42 m²","Hubungi","Rp 24.000.000 per m²","",""
"Kemayoran  jakarta pusat","Jl angkasa, Kemayoran, Jakarta Pusat, DKI Jakarta","Rp","534,879 jt","2","2","42 m²","Hubungi","Rp 19.810.333 per m²","",""
"Simprug Residence","Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","7,087 jt","4","","224 m²","Hubungi","Rp 35.435 per m²","",""
"PURI MANSION","PURI MANSION, Puri Mansion, Jakarta Barat, DKI Jakarta","Rp","5,2 M","3","2","150 m²","Hubungi","Rp 34.666.667 per m²","",""
"PIK","VOLENDAM, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","2,5 M","3","2","72 m²","Hubungi","Rp 34.722.222 per m²","",""
"PANTAI INDAH KAPUK","Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","13,5 M","4","3","250 m²","Hubungi","Rp 54.000.000 per m²","",""
"RUMAH JUAL PIK2 BRAND NEW, TDK RUGI HARGA NAIK TERUS LOKASI PIK2","PIK2, Pantai Indah Kapuk, Jakarta Utara, DKI Jakarta","Rp","2,35 M","3","2","80 m²","Hubungi","Rp 29.375.000 per m²","",""
"Dijual Rumah clasic mewah kolam renang Kebagusan Jakarta Selatan","Taman has, Kebagusan, Jakarta Selatan, DKI Jakarta","Rp","4,8 M","5","5","250 m²","Hubungi","Rp 24.615.385 per m²","",""
"di Jual Rumah Pik 2. 4. 5x10 murah Sudah serah terima, Langsung huni","Kamal, Jakarta Utara, DKI Jakarta","Rp","1,35 M","2","2","62 m²","Hubungi","Rp 30.000.000 per m²","",""
"Di jual Cepat Rumah Pik 2, Uk 4x15 Termurah Saat Ini Rp 2. 1m (nego)","PIK2 pantai Indah Kapuk, Kamal, Jakarta Utara, DKI Jakarta","Rp","2 M","2","2","96 m²","Hubungi","Rp 33.333.333 per m²","",""
"Dijual Rumah Hoek 3 Lt. Lokasi Nyaman Di Gading Mediterania, Kelapa Gading. Jakarta Utara","Gading Mediterania, Kelapa Gading, Kelapa Gading, Jakarta Utara, DKI Jakarta","Rp","11 M","5","4","273 m²","Hubungi","Rp 34.920.635 per m²","",""
