km-tidur,km-mandi,garasi,bangunan,tanah,lokasi,harga
7,5,1,71,40,Jakarta,1500000000
7,7,1,67,34,Jakarta,11843707482
7,7,2,200,94,Jakarta,3450000000
7,7,0,42,27,Jakarta,11843707482
7,3,0,400,258,Jakarta,6500000000
7,5,0,189,84,Jakarta,1850000000
7,7,0,131,55,Jakarta,2300000000
7,3,1,71,36,Jakarta,1140000000
7,3,0,65,69,Jakarta,11843707482
7,5,1,150,74,Jakarta,2500000000
7,4,0,60,71,Jakarta,1300000000
7,5,2,200,120,Jakarta,3390000000
7,4,1,280,150,Jakarta,4700000000
7,7,0,700,200,Jakarta,12500000000
7,6,0,600,325,Jakarta,17500000000
7,3,1,373,144,Jakarta,5900000000
7,6,1,350,195,Jakarta,5900000000
7,6,4,5000,2700,Jakarta,1.08E+11
7,6,2,98,80,Jakarta,2350000000
7,6,2,1000,520,Jakarta,29000000000
7,6,1,158,66,Jakarta,2100000000
7,6,0,117,60,Jakarta,1900000000
7,6,1,120,77,Jakarta,1250000000
7,6,2,300,165,Jakarta,5500000000
7,6,2,240,126,Jakarta,2500000000
7,4,0,220,139,Jakarta,2200000000
7,3,2,240,139,Jakarta,3700000000
7,3,0,270,140,Jakarta,4500000000
7,9,1,241,216,Jakarta,3200000000
7,5,2,400,231,Jakarta,9850000000
7,3,1,160,108,Jakarta,1850000000
7,3,0,250,171,Jakarta,2700000000
7,5,2,170,101,Jakarta,2500000000
7,5,0,40,22,Jakarta,11843707482
7,7,4,350,597,Jakarta,32000000000
7,7,2,224,180,Jakarta,6750000000
7,5,8,500,510,Jakarta,14500000000
7,5,1,250,144,Jakarta,4790000000
7,5,0,100,90,Jakarta,1790000000
7,2,1,106,60,Jakarta,1800000000
6,4,1,310,104,Jakarta,2990000000
6,5,0,195,120,Jakarta,3000000000
6,4,0,150,75,Jakarta,2600000000
6,4,0,120,55,Jakarta,2300000000
6,5,0,180,112,Jakarta,3350000000
6,6,1,420,200,Jakarta,7500000000
6,7,1,177,117,Jakarta,2600000000
6,7,2,1000,455,Jakarta,26900000000
6,6,0,170,120,Jakarta,4000000000
6,6,1,350,200,Jakarta,7300000000
6,2,2,200,440,Jakarta,5900000000
6,4,2,170,120,Jakarta,3950000000
6,6,1,300,250,Jakarta,12500000000
6,6,1,150,100,Jakarta,3150000000
6,5,2,156,128,Jakarta,3100000000
6,6,0,250,144,Jakarta,4900000000
6,3,2,170,112,Jakarta,3350000000
6,5,0,400,323,Jakarta,19500000000
6,6,1,250,256,Jakarta,6750000000
6,4,1,110,45,Jakarta,1690000000
6,5,2,200,120,Jakarta,3000000000
6,6,0,50,44,Jakarta,1150000000
6,4,1,146,75,Jakarta,2600000000
6,2,1,122,55,Jakarta,2300000000
6,5,2,600,486,Jakarta,25000000000
6,6,0,150,75,Jakarta,2600000000
6,5,0,115,55,Jakarta,2300000000
6,8,0,185,120,Jakarta,3000000000
6,5,1,105,56,Jakarta,1750000000
6,5,0,31,16,Jakarta,11843707482
6,3,0,800,672,Jakarta,16000000000
6,3,2,290,300,Jakarta,10500000000
6,7,0,500,320,Jakarta,11000000000
6,5,0,260,180,Jakarta,7500000000
6,4,0,400,220,Jakarta,4200000000
6,8,1,250,147,Jakarta,3950000000
6,7,0,785,785,Jakarta,25000000000
6,6,0,35,18,Jakarta,11843707482
6,6,0,550,390,Jakarta,19000000000
6,5,2,290,195,Jakarta,4800000000
6,5,2,222,90,Jakarta,3500000000
6,6,2,350,214,Jakarta,5500000000
6,6,2,240,195,Jakarta,4800000000
6,6,2,600,325,Jakarta,32000000000
6,7,2,150,120,Jakarta,4100000000
6,4,1,100,75,Jakarta,2350000000
6,6,1,140,110,Jakarta,2640000000
6,4,0,360,300,Jakarta,8800000000
6,6,3,551,232,Jakarta,13800000000
6,5,1,288,288,Jakarta,3600000000
6,4,1,250,340,Jakarta,11500000000
6,4,2,150,150,Jakarta,3250000000
6,7,2,70,60,Jakarta,11843707482
6,3,1,115,120,Jakarta,2300000000
6,3,1,103,128,Jakarta,1990000000
6,3,2,450,921,Jakarta,14000000000
6,3,2,400,300,Jakarta,14000000000
6,6,0,400,573,Jakarta,33000000000
6,7,1,35,17,Jakarta,11843707482
6,6,1,35,17,Jakarta,11843707482
6,6,1,56,30,Jakarta,11843707482
6,3,0,300,200,Jakarta,7000000000
6,6,0,360,160,Jakarta,4200000000
6,6,0,100,120,Jakarta,3200000000
6,6,1,630,540,Jakarta,15500000000
6,5,2,200,150,Jakarta,4900000000
6,2,1,450,300,Jakarta,16000000000
6,4,0,88,70,Jakarta,1600000000
6,6,0,600,270,Jakarta,10000000000
6,2,1,250,144,Jakarta,10000000000
6,2,1,71,52,Jakarta,11843707482
6,4,1,80,44,Jakarta,2090000000
6,4,0,40,20,Jakarta,11843707482
6,2,1,58,39,Jakarta,1170000000
6,2,1,99,36,Jakarta,1480000000
6,2,2,650,525,Jakarta,33000000000
6,3,1,58,33,Jakarta,11843707482
6,2,1,61,47,Jakarta,1190000000
6,6,0,320,160,Jakarta,10000000000
6,7,1,63,39,Jakarta,11843707482
6,3,2,230,182,Jakarta,5800000000
6,3,0,600,982,Jakarta,18000000000
6,5,1,950,486,Jakarta,25000000000
6,2,2,500,240,Jakarta,8500000000
6,6,2,350,250,Jakarta,7500000000
6,3,2,1200,785,Jakarta,26000000000
6,2,1,550,232,Jakarta,13800000000
6,4,1,250,180,Jakarta,4000000000
6,5,2,800,386,Jakarta,18000000000
6,5,2,282,95,Jakarta,3200000000
6,3,1,300,250,Jakarta,13000000000
6,2,0,300,150,Jakarta,2600000000
6,7,0,42,27,Jakarta,11843707482
6,6,4,660,200,Jakarta,10500000000
6,4,0,126,193,Jakarta,2850000000
6,4,2,150,114,Jakarta,2850000000
6,4,2,186,152,Jakarta,4190000000
6,7,2,400,200,Jakarta,14000000000
6,2,2,240,112,Jakarta,3720000000
6,5,2,200,94,Jakarta,3450000000
6,4,2,200,120,Jakarta,3600000000
6,3,1,1000,378,Jakarta,12000000000
6,7,1,250,240,Jakarta,5000000000
6,4,0,200,120,Jakarta,3350000000
6,6,2,230,179,Jakarta,3000000000
6,8,1,500,290,Jakarta,10900000000
6,5,4,500,1197,Jakarta,20900000000
6,3,3,300,136,Jakarta,6800000000
6,1,1,700,270,Jakarta,10500000000
6,5,2,120,90,Jakarta,3000000000
6,4,2,750,395,Jakarta,33000000000
6,4,0,500,519,Jakarta,41000000000
6,4,3,200,150,Jakarta,2600000000
6,4,0,800,503,Jakarta,19000000000
6,4,4,1500,1305,Jakarta,1.75E+11
6,4,1,110,39,Jakarta,1590000000
6,6,8,400,1080,Jakarta,13500000000
6,5,4,800,1225,Jakarta,1E+11
6,4,6,1200,1305,Jakarta,1.75E+11
6,4,0,800,400,Jakarta,27500000000
6,6,1,300,200,Jakarta,4800000000
6,4,1,200,136,Jakarta,3990000000
6,4,1,150,117,Jakarta,2500000000
6,4,3,200,200,Jakarta,4600000000
6,3,0,310,144,Jakarta,4850000000
6,3,3,225,190,Jakarta,5700000000
6,4,4,377,608,Jakarta,8500000000
6,6,0,73,36,Jakarta,1350000000
6,3,0,150,117,Jakarta,2500000000
6,6,0,570,377,Jakarta,8500000000
6,2,0,600,560,Jakarta,28000000000
5,1,2,210,279,Jakarta,4000000000
5,6,2,250,150,Jakarta,2400000000
5,4,2,310,277,Jakarta,4500000000
5,5,0,168,120,Jakarta,7000000000
5,4,1,74,69,Jakarta,1550000000
5,5,2,142,127,Jakarta,3650000000
5,4,4,550,500,Jakarta,15000000000
5,5,2,850,1900,Jakarta,1.5E+11
5,4,0,250,320,Jakarta,8300000000
5,4,2,250,200,Jakarta,6800000000
5,5,2,200,552,Jakarta,9500000000
5,4,1,360,207,Jakarta,8700000000
5,3,0,600,315,Jakarta,9900000000
5,2,0,500,449,Jakarta,10900000000
5,4,0,800,895,Jakarta,32000000000
5,4,2,350,120,Jakarta,6000000000
5,3,2,370,250,Jakarta,8000000000
5,7,2,300,268,Jakarta,15000000000
5,6,5,458,938,Jakarta,60000000000
5,5,1,150,200,Jakarta,10500000000
5,5,2,250,126,Jakarta,3000000000
5,4,0,140,77,Jakarta,1700000000
5,4,2,230,92,Jakarta,2900000000
5,4,2,150,105,Jakarta,2550000000
5,5,1,220,120,Jakarta,2500000000
5,5,1,130,77,Jakarta,1520000000
5,4,0,1200,360,Jakarta,29000000000
5,4,1,130,120,Jakarta,4000000000
5,3,1,200,160,Jakarta,5700000000
5,4,1,220,160,Jakarta,7000000000
5,5,6,1638,676,Jakarta,17000000000
5,4,0,1800,1020,Jakarta,20500000000
5,5,0,275,91,Jakarta,5350000000
5,5,2,142,100,Jakarta,3200000000
5,4,1,650,230,Jakarta,13400000000
5,4,0,275,91,Jakarta,5350000000
5,5,2,165,112,Jakarta,2950000000
5,6,2,336,136,Jakarta,5500000000
5,6,1,148,64,Jakarta,2400000000
5,4,2,245,105,Jakarta,3590000000
5,4,0,135,80,Jakarta,1450000000
5,5,2,250,120,Jakarta,3250000000
5,3,2,160,150,Jakarta,5500000000
5,2,0,120,90,Jakarta,3100000000
5,5,0,168,112,Jakarta,2950000000
5,4,0,132,60,Jakarta,1490000000
5,4,0,336,136,Jakarta,5500000000
5,5,0,360,150,Jakarta,5000000000
5,4,0,225,225,Jakarta,5170000000
5,5,0,132,64,Jakarta,2400000000
5,5,0,275,105,Jakarta,3590000000
5,5,2,250,432,Jakarta,13500000000
5,5,4,293,255,Jakarta,5200000000
5,4,2,170,120,Jakarta,3900000000
5,4,1,100,90,Jakarta,2900000000
5,5,1,216,88,Jakarta,2900000000
5,4,2,150,123,Jakarta,4000000000
5,4,0,200,200,Jakarta,4100000000
5,4,0,250,195,Jakarta,4690000000
5,4,2,120,120,Jakarta,2900000000
5,4,0,700,570,Jakarta,17000000000
5,4,0,1000,426,Jakarta,27000000000
5,5,2,120,90,Jakarta,2300000000
5,3,0,350,150,Jakarta,5900000000
5,2,0,52,32,Jakarta,11843707482
5,4,1,218,86,Jakarta,3980000000
5,4,0,207,86,Jakarta,3980000000
5,3,0,395,260,Jakarta,6800000000
5,5,1,98,60,Jakarta,2030000000
5,4,1,68,48,Jakarta,1200000000
5,4,1,110,55,Jakarta,1350000000
5,2,1,250,120,Jakarta,5990000000
5,3,0,240,160,Jakarta,5100000000
5,3,1,110,74,Jakarta,1490000000
5,3,4,375,216,Jakarta,8000000000
5,5,0,69,35,Jakarta,11843707482
5,5,2,200,94,Jakarta,3450000000
5,4,0,250,150,Jakarta,3200000000
5,4,0,130,55,Jakarta,2200000000
5,5,3,400,200,Jakarta,4100000000
5,5,2,228,200,Jakarta,8300000000
5,3,0,500,1046,Jakarta,55000000000
5,5,1,300,200,Jakarta,4800000000
5,4,2,85,105,Jakarta,2000000000
5,5,0,150,198,Jakarta,3290000000
5,3,0,144,77,Jakarta,1350000000
5,4,0,185,84,Jakarta,2400000000
5,4,1,110,90,Jakarta,2400000000
5,4,0,500,357,Jakarta,10500000000
5,5,0,700,530,Jakarta,18000000000
5,5,2,500,330,Jakarta,30000000000
5,3,2,200,109,Jakarta,3650000000
5,3,2,550,460,Jakarta,13000000000
5,5,1,270,255,Jakarta,5700000000
5,5,0,359,264,Jakarta,5500000000
5,3,1,300,180,Jakarta,8700000000
5,3,1,650,428,Jakarta,10000000000
5,3,0,120,128,Jakarta,3090000000
5,5,2,315,290,Jakarta,10900000000
5,5,2,300,200,Jakarta,7300000000
5,5,1,90,77,Jakarta,1620000000
5,4,1,85,75,Jakarta,1200000000
5,4,2,136,120,Jakarta,2750000000
5,4,2,80,68,Jakarta,11843707482
5,5,2,245,105,Jakarta,3590000000
5,5,0,200,120,Jakarta,4000000000
5,4,1,60,40,Jakarta,1650000000
5,5,4,416,486,Jakarta,20000000000
5,5,0,560,812,Jakarta,26000000000
5,5,0,245,105,Jakarta,3590000000
5,5,0,162,102,Jakarta,1700000000
5,5,0,54,40,Jakarta,1650000000
5,3,1,138,64,Jakarta,2400000000
5,4,0,132,64,Jakarta,2400000000
5,3,1,400,117,Jakarta,6100000000
5,4,0,42,21,Jakarta,11843707482
5,5,3,540,260,Jakarta,12500000000
5,4,1,126,75,Jakarta,2600000000
5,4,1,52,32,Jakarta,11843707482
5,5,0,1130,4040,Jakarta,60000000000
5,4,3,250,195,Jakarta,4700000000
5,5,0,700,749,Jakarta,17900000000
5,4,2,353,155,Jakarta,5600000000
5,6,2,150,92,Jakarta,1950000000
5,4,2,180,106,Jakarta,2500000000
5,3,1,165,120,Jakarta,2950000000
5,4,1,300,167,Jakarta,4500000000
5,4,1,188,84,Jakarta,1850000000
5,3,2,119,60,Jakarta,2300000000
5,5,2,98,80,Jakarta,2300000000
5,4,1,90,80,Jakarta,2290000000
5,5,2,538,409,Jakarta,18700000000
5,3,0,42,27,Jakarta,11843707482
5,3,0,63,32,Jakarta,11843707482
5,3,0,42,22,Jakarta,11843707482
5,4,4,377,250,Jakarta,6700000000
5,4,2,231,105,Jakarta,3590000000
5,5,0,294,102,Jakarta,4300000000
5,3,0,196,105,Jakarta,3590000000
5,4,0,800,358,Jakarta,17800000000
5,6,2,400,240,Jakarta,9000000000
5,5,1,180,136,Jakarta,3990000000
5,5,0,700,300,Jakarta,25000000000
5,5,2,125,102,Jakarta,3950000000
5,5,2,183,165,Jakarta,4400000000
5,4,2,400,200,Jakarta,14000000000
5,4,2,450,290,Jakarta,10900000000
5,4,2,412,297,Jakarta,10900000000
5,8,1,180,84,Jakarta,2400000000
5,3,2,450,470,Jakarta,20000000000
5,5,0,800,358,Jakarta,17800000000
5,5,0,250,200,Jakarta,8300000000
5,4,2,500,360,Jakarta,14000000000
5,3,1,285,167,Jakarta,4500000000
5,2,0,240,188,Jakarta,3300000000
5,2,2,150,101,Jakarta,1750000000
5,5,2,209,150,Jakarta,5000000000
5,2,2,190,118,Jakarta,2700000000
5,4,2,130,96,Jakarta,1300000000
5,2,1,125,90,Jakarta,2300000000
5,3,2,130,120,Jakarta,2900000000
5,2,0,700,450,Jakarta,29000000000
5,4,2,500,200,Jakarta,9500000000
5,3,4,550,369,Jakarta,18000000000
5,1,2,350,250,Jakarta,5500000000
5,4,2,700,740,Jakarta,39000000000
5,3,3,700,300,Jakarta,9000000000
5,4,6,600,520,Jakarta,15000000000
5,4,2,400,300,Jakarta,6500000000
5,6,3,500,225,Jakarta,13500000000
5,6,2,750,300,Jakarta,23000000000
5,4,2,200,203,Jakarta,5000000000
5,3,2,230,92,Jakarta,2900000000
5,5,1,400,184,Jakarta,6500000000
5,7,0,312,135,Jakarta,2990000000
5,3,0,100,138,Jakarta,2350000000
5,4,0,100,90,Jakarta,2050000000
5,3,4,785,785,Jakarta,26000000000
5,5,2,140,120,Jakarta,4100000000
5,4,1,400,117,Jakarta,6000000000
5,4,0,130,72,Jakarta,1480000000
5,5,2,250,180,Jakarta,4550000000
5,3,1,106,38,Jakarta,1290000000
5,3,1,150,200,Jakarta,4600000000
5,4,2,115,180,Jakarta,2520000000
5,4,0,270,262,Jakarta,9250000000
5,4,0,250,336,Jakarta,7390000000
5,4,0,500,467,Jakarta,11500000000
5,4,0,110,35,Jakarta,1290000000
5,4,0,145,110,Jakarta,2200000000
5,4,2,115,180,Jakarta,2520000000
5,4,1,140,110,Jakarta,2640000000
5,3,2,170,80,Jakarta,2300000000
5,3,2,198,192,Jakarta,4000000000
5,2,0,700,500,Jakarta,19000000000
5,4,1,200,160,Jakarta,5900000000
5,4,0,610,250,Jakarta,12800000000
5,4,1,54,45,Jakarta,1300000000
5,3,2,435,300,Jakarta,18000000000
5,4,2,310,277,Jakarta,4500000000
5,2,0,260,220,Jakarta,4750000000
5,2,2,131,120,Jakarta,3700000000
5,2,1,186,120,Jakarta,3550000000
5,2,1,250,150,Jakarta,4600000000
5,5,2,168,112,Jakarta,2950000000
5,3,0,282,95,Jakarta,3200000000
5,4,0,200,112,Jakarta,2950000000
5,4,0,180,120,Jakarta,3550000000
5,2,2,115,180,Jakarta,2520000000
5,4,2,150,123,Jakarta,4000000000
5,3,2,1100,377,Jakarta,23000000000
5,3,1,56,32,Jakarta,11843707482
5,5,3,181,66,Jakarta,2350000000
5,3,0,220,97,Jakarta,2700000000
5,3,2,475,300,Jakarta,16000000000
5,4,2,192,136,Jakarta,5500000000
5,4,2,136,45,Jakarta,1700000000
5,5,0,189,84,Jakarta,1850000000
5,4,0,387,260,Jakarta,6800000000
5,6,0,132,60,Jakarta,1600000000
5,4,1,130,80,Jakarta,1710000000
5,4,0,135,197,Jakarta,3290000000
5,4,2,62,60,Jakarta,1300000000
5,4,2,150,95,Jakarta,1950000000
5,4,0,170,120,Jakarta,2500000000
5,7,0,180,121,Jakarta,2300000000
5,3,2,160,113,Jakarta,2400000000
5,4,0,85,60,Jakarta,1100000000
5,4,0,120,70,Jakarta,1550000000
5,4,1,80,40,Jakarta,11843707482
5,5,2,270,128,Jakarta,4000000000
5,4,0,411,503,Jakarta,22000000000
5,5,0,210,144,Jakarta,4300000000
5,5,2,850,450,Jakarta,29000000000
5,5,2,500,260,Jakarta,6900000000
5,4,4,200,204,Jakarta,5500000000
5,4,1,140,110,Jakarta,2640000000
5,4,3,200,150,Jakarta,3200000000
5,4,0,350,192,Jakarta,3800000000
5,4,0,160,128,Jakarta,3000000000
5,4,0,400,200,Jakarta,7700000000
5,4,2,185,175,Jakarta,6250000000
5,4,2,550,600,Jakarta,8900000000
5,3,3,784,785,Jakarta,25000000000
5,3,0,140,64,Jakarta,1900000000
5,4,2,140,64,Jakarta,1900000000
5,4,2,700,400,Jakarta,28000000000
5,4,0,160,120,Jakarta,3400000000
5,4,0,35,18,Jakarta,11843707482
5,5,0,1000,725,Jakarta,29500000000
5,6,1,560,265,Jakarta,12500000000
5,4,0,180,90,Jakarta,5500000000
5,5,0,550,200,Jakarta,8200000000
5,4,2,600,325,Jakarta,9000000000
5,6,2,181,120,Jakarta,3550000000
5,5,0,240,120,Jakarta,4800000000
5,4,0,800,525,Jakarta,35000000000
5,4,1,230,168,Jakarta,4500000000
5,5,0,227,89,Jakarta,2400000000
5,4,0,160,112,Jakarta,3350000000
5,4,0,144,84,Jakarta,2400000000
5,4,0,200,120,Jakarta,3550000000
5,4,0,87,60,Jakarta,1400000000
5,3,3,150,210,Jakarta,4900000000
5,5,0,350,378,Jakarta,8500000000
5,4,0,67,75,Jakarta,1550000000
5,4,0,200,150,Jakarta,5500000000
5,4,1,184,141,Jakarta,5300000000
5,5,0,600,450,Jakarta,18000000000
5,3,2,250,336,Jakarta,7390000000
5,2,3,250,240,Jakarta,8500000000
5,5,0,350,725,Jakarta,17500000000
5,4,1,280,240,Jakarta,3200000000
5,5,0,300,490,Jakarta,16000000000
5,3,0,300,230,Jakarta,8850000000
5,2,0,1100,542,Jakarta,30000000000
5,5,0,839,785,Jakarta,25000000000
5,4,0,105,105,Jakarta,3100000000
5,6,0,350,392,Jakarta,13500000000
5,5,2,325,600,Jakarta,14000000000
5,4,2,100,180,Jakarta,2450000000
5,3,1,220,110,Jakarta,4100000000
5,4,0,700,270,Jakarta,10000000000
5,4,0,1100,377,Jakarta,23000000000
5,3,1,320,300,Jakarta,12000000000
5,5,2,640,464,Jakarta,13900000000
5,7,1,200,200,Jakarta,7500000000
5,4,4,600,928,Jakarta,13000000000
5,3,1,200,144,Jakarta,4800000000
5,6,3,280,120,Jakarta,6000000000
5,3,1,158,66,Jakarta,2200000000
5,5,2,180,160,Jakarta,5950000000
5,4,0,200,326,Jakarta,4500000000
5,6,0,200,150,Jakarta,5700000000
5,3,3,700,600,Jakarta,17900000000
5,4,0,500,144,Jakarta,6500000000
5,2,0,230,155,Jakarta,5500000000
5,4,0,250,320,Jakarta,8000000000
5,3,0,149,282,Jakarta,6800000000
5,5,10,1200,886,Jakarta,35000000000
5,5,7,869,1180,Jakarta,45000000000
5,4,2,211,128,Jakarta,3100000000
5,4,10,2700,4260,Jakarta,2.65E+11
5,4,1,160,250,Jakarta,4000000000
5,5,0,142,100,Jakarta,3100000000
5,5,0,100,90,Jakarta,2400000000
5,5,0,200,120,Jakarta,3300000000
5,2,2,200,120,Jakarta,3300000000
5,5,1,113,102,Jakarta,2200000000
5,5,4,800,1100,Jakarta,20500000000
5,5,2,141,128,Jakarta,3100000000
5,5,2,110,80,Jakarta,1880000000
5,3,2,220,90,Jakarta,2700000000
5,5,2,104,90,Jakarta,1500000000
5,5,2,400,255,Jakarta,5700000000
5,5,0,240,160,Jakarta,7500000000
5,5,2,1000,386,Jakarta,18000000000
5,7,1,60,70,Jakarta,11843707482
5,7,0,300,180,Jakarta,5300000000
5,3,2,450,628,Jakarta,10200000000
5,4,2,500,320,Jakarta,7300000000
5,4,0,600,982,Jakarta,18000000000
5,4,3,220,165,Jakarta,2700000000
5,3,1,200,200,Jakarta,5000000000
5,2,2,130,97,Jakarta,1450000000
5,5,0,854,850,Jakarta,21900000000
5,4,2,240,112,Jakarta,3700000000
5,4,0,1300,640,Jakarta,39000000000
5,4,0,530,184,Jakarta,8900000000
5,5,0,135,90,Jakarta,2500000000
5,3,0,42,22,Jakarta,11843707482
5,4,1,90,58,Jakarta,2090000000
5,3,0,70,100,Jakarta,1300000000
5,4,1,700,578,Jakarta,25000000000
5,3,1,250,180,Jakarta,7190000000
5,4,0,245,200,Jakarta,4200000000
5,4,1,67,34,Jakarta,11843707482
5,3,0,144,102,Jakarta,3200000000
5,4,0,220,148,Jakarta,3300000000
5,5,1,250,320,Jakarta,7800000000
5,5,1,450,300,Jakarta,9000000000
5,2,0,270,270,Jakarta,10000000000
5,2,1,68,33,Jakarta,11843707482
5,3,1,88,77,Jakarta,1400000000
5,5,2,110,80,Jakarta,1880000000
5,5,0,260,220,Jakarta,4750000000
5,3,2,140,125,Jakarta,2200000000
5,3,0,250,180,Jakarta,5400000000
5,1,0,350,195,Jakarta,4690000000
5,3,2,400,144,Jakarta,6500000000
5,4,1,92,98,Jakarta,2000000000
5,5,2,500,200,Jakarta,25000000000
5,5,0,35,18,Jakarta,11843707482
5,3,1,63,39,Jakarta,11843707482
5,4,0,43,23,Jakarta,11843707482
5,4,0,42,22,Jakarta,11843707482
5,5,1,56,32,Jakarta,11843707482
5,3,1,68,36,Jakarta,1470000000
5,3,0,42,22,Jakarta,11843707482
5,4,2,400,200,Jakarta,5000000000
5,2,2,346,300,Jakarta,8500000000
5,6,2,150,92,Jakarta,1950000000
5,2,1,63,32,Jakarta,11843707482
5,4,0,33,18,Jakarta,11843707482
5,4,1,90,44,Jakarta,1000000000
5,3,0,200,150,Jakarta,5200000000
5,5,1,71,36,Jakarta,1140000000
5,3,1,67,34,Jakarta,11843707482
5,5,1,90,76,Jakarta,2090000000
5,5,2,160,102,Jakarta,4100000000
5,4,2,353,517,Jakarta,50000000000
5,4,0,500,198,Jakarta,4000000000
5,3,2,800,660,Jakarta,50000000000
5,3,3,500,732,Jakarta,16000000000
5,5,5,620,500,Jakarta,15000000000
5,5,1,250,300,Jakarta,18000000000
5,5,2,250,180,Jakarta,7700000000
5,3,1,255,163,Jakarta,5200000000
5,3,2,606,247,Jakarta,11200000000
5,4,1,700,360,Jakarta,11000000000
5,5,6,1500,2050,Jakarta,55000000000
5,5,0,172,122,Jakarta,3000000000
5,4,2,550,477,Jakarta,12000000000
5,4,2,180,118,Jakarta,2700000000
5,3,2,186,152,Jakarta,4190000000
5,5,2,150,90,Jakarta,1900000000
5,5,2,300,180,Jakarta,4800000000
5,3,1,200,136,Jakarta,3990000000
5,3,0,352,855,Jakarta,25000000000
5,3,15,1100,973,Jakarta,23000000000
5,2,0,400,445,Jakarta,13000000000
5,4,2,165,150,Jakarta,2850000000
5,3,2,115,180,Jakarta,2520000000
5,3,0,140,110,Jakarta,2640000000
5,4,0,320,160,Jakarta,5900000000
5,3,2,150,96,Jakarta,1950000000
5,2,1,110,78,Jakarta,1650000000
5,4,0,120,97,Jakarta,2340000000
5,4,4,338,282,Jakarta,5500000000
5,4,4,1000,1078,Jakarta,80000000000
5,5,6,1200,1670,Jakarta,52500000000
5,4,0,300,282,Jakarta,5500000000
5,4,0,123,156,Jakarta,3000000000
5,2,2,120,97,Jakarta,2340000000
5,4,4,1000,1479,Jakarta,1.06E+11
5,4,0,190,200,Jakarta,2900000000
5,4,2,350,441,Jakarta,35000000000
5,4,2,450,830,Jakarta,25500000000
5,3,2,450,212,Jakarta,8500000000
5,4,0,450,180,Jakarta,8250000000
5,4,2,208,144,Jakarta,3800000000
5,4,0,480,670,Jakarta,7490000000
5,2,0,58,90,Jakarta,1550000000
5,4,1,240,120,Jakarta,5500000000
5,4,2,140,77,Jakarta,2200000000
5,5,1,304,535,Jakarta,33000000000
5,2,1,200,160,Jakarta,12500000000
5,4,0,300,105,Jakarta,3200000000
5,4,2,200,120,Jakarta,4650000000
5,3,0,812,812,Jakarta,17000000000
5,4,0,301,130,Jakarta,7800000000
5,4,2,307,192,Jakarta,4700000000
5,3,2,280,160,Jakarta,2900000000
5,4,1,500,184,Jakarta,8900000000
5,4,1,203,150,Jakarta,5250000000
5,5,1,54,45,Jakarta,1320000000
5,3,1,51,34,Jakarta,11843707482
5,3,1,127,172,Jakarta,3100000000
5,3,1,132,66,Jakarta,1500000000
5,4,1,56,32,Jakarta,11843707482
